date,steel buy
2022-10-16,274849
2022-10-17,322923
2022-10-18,232351
2022-10-19,412579
2022-10-20,446437
2022-10-21,301252
2022-10-22,1110906
2022-10-23,262224
2022-10-24,266801
2022-10-25,486851
2022-10-26,84082
2022-10-27,267414
2022-10-28,356624
2022-10-29,184709
2022-10-30,193369
2022-10-31,184770
2022-11-01,675971
2022-11-02,578576
2022-11-03,382481
2022-11-04,202949
2022-11-05,275711
2022-11-06,180986
2022-11-07,496149
2022-11-08,251210
2022-11-09,427975
2022-11-10,207491
2022-11-11,314778
2022-11-12,161658
2022-11-13,251041
2022-11-14,128400
2022-11-15,200637
2022-11-16,302897
2022-11-17,146918
2022-11-18,102004
2022-11-19,134558
2022-11-20,147389
2022-11-21,170509
2022-11-22,135380
2022-11-23,138457
2022-11-24,143131
2022-11-25,182214
2022-11-26,141112
2022-11-27,205423
2022-11-28,204632
2022-11-29,198880
2022-11-30,288317
2022-12-01,168976
2022-12-02,149700
2022-12-03,200373
2022-12-04,227998
2022-12-05,257325
2022-12-06,271195
2022-12-07,214479
2022-12-08,188343
2022-12-09,173357
2022-12-10,153739
2022-12-11,251198
2022-12-12,432980
2022-12-13,158741
2022-12-14,211531
2022-12-15,183281
2022-12-16,163212
2022-12-17,186790
2022-12-18,175908
2022-12-19,221195
2022-12-20,145264
2022-12-21,230062
2022-12-22,105653
2022-12-23,201182
2022-12-24,90130
2022-12-25,92098
2022-12-26,265864
2022-12-27,177470
2022-12-28,124759
2022-12-29,120568
2022-12-30,169059
2022-12-31,271010
2023-01-01,142606
2023-01-02,222649
2023-01-03,162104
2023-01-04,180714
2023-01-05,224754
2023-01-06,156459
2023-01-07,223173
2023-01-08,160380
2023-01-09,240786
2023-01-10,476069
2023-01-11,165807
2023-01-12,276769
2023-01-13,119865
2023-01-14,255722
2023-01-15,314209
2023-01-16,493658
2023-01-17,289298
2023-01-18,355283
2023-01-19,244394
2023-01-20,204693
2023-01-21,168359
2023-01-22,296988
2023-01-23,183658
2023-01-24,244716
2023-01-25,563135
2023-01-26,403789
2023-01-27,254856
2023-01-28,400745
2023-01-29,443136
2023-01-30,238883
2023-01-31,308672
2023-02-01,578763
2023-02-02,210655
2023-02-03,259600
2023-02-04,295615
2023-02-05,279984
2023-02-06,326077
2023-02-07,249980
2023-02-08,194012
2023-02-09,341557
2023-02-10,381980
2023-02-11,228400
2023-02-12,356920
2023-02-13,415365
2023-02-14,308246
2023-02-15,253313
2023-02-16,108268
2023-02-17,328574
2023-02-18,336062
2023-02-19,249065
2023-02-20,254756
2023-02-21,144986
2023-02-22,367814
2023-02-23,259387
2023-02-24,191497
2023-02-25,375126
2023-02-26,358988
2023-02-27,176143
2023-02-28,298692
2023-03-01,594302
2023-03-02,353733
2023-03-03,161373
2023-03-04,206087
2023-03-05,336769
2023-03-06,273242
2023-03-07,370759
2023-03-08,332646
2023-03-09,172551
2023-03-10,123344
2023-03-11,277738
2023-03-12,259178
2023-03-13,495632
2023-03-14,205713
2023-03-15,105795
2023-03-16,102256
2023-03-17,275414
2023-03-18,237591
2023-03-19,314589
2023-03-20,286788
2023-03-21,161994
2023-03-22,500250
2023-03-23,546299
2023-03-24,1169805
2023-03-25,291333
2023-03-26,321877
2023-03-27,272464
2023-03-28,235134
2023-03-29,287165
2023-03-30,302985
2023-03-31,224585
2023-04-01,608003
2023-04-02,342700
2023-04-03,182858
2023-04-04,174920
2023-04-05,254495
2023-04-06,254346
2023-04-07,165254
2023-04-08,582299
2023-04-09,397341
2023-04-10,314877
2023-04-11,502622
2023-04-12,185324
2023-04-13,209274
2023-04-14,181750
2023-04-15,298321
2023-04-16,238433
2023-04-17,236035
2023-04-18,284982
2023-04-19,417977
2023-04-20,140830
2023-04-21,256365
2023-04-22,174865
2023-04-23,115691
2023-04-24,200919
2023-04-25,355127
2023-04-26,277280
2023-04-27,92152
2023-04-28,215136
2023-04-29,214917
2023-04-30,71147
2023-05-01,224697
2023-05-02,209780
2023-05-03,197956
2023-05-04,68501
2023-05-05,202795
2023-05-06,210165
2023-05-07,208829
2023-05-08,151305
2023-05-09,290177
2023-05-10,138687
2023-05-11,203976
2023-05-12,354402
2023-05-13,124786
2023-05-14,310385
2023-05-15,190597
2023-05-16,169326
2023-05-17,177058
