date,bauxite buy
2022-11-13,63291
2022-11-14,70231
2022-11-15,99633
2022-11-16,195105
2022-11-17,93321
2022-11-18,121356
2022-11-19,72873
2022-11-20,138092
2022-11-21,114293
2022-11-22,95662
2022-11-23,118553
2022-11-24,132747
2022-11-25,91930
2022-11-26,68785
2022-11-27,183790
2022-11-28,138264
2022-11-29,91337
2022-11-30,47900
2022-12-01,110195
2022-12-02,108858
2022-12-03,100733
2022-12-04,102750
2022-12-05,111083
2022-12-06,88134
2022-12-07,57655
2022-12-08,111031
2022-12-09,100583
2022-12-10,79328
2022-12-11,142890
2022-12-12,202360
2022-12-13,75222
2022-12-14,105363
2022-12-15,97423
2022-12-16,124070
2022-12-17,119568
2022-12-18,168420
2022-12-19,83912
2022-12-20,73969
2022-12-21,116292
2022-12-22,88952
2022-12-23,95488
2022-12-24,119328
2022-12-25,99832
2022-12-26,79179
2022-12-27,114844
2022-12-28,116635
2022-12-29,79905
2022-12-30,87872
2022-12-31,56734
2023-01-01,68236
2023-01-02,99642
2023-01-03,115241
2023-01-04,145001
2023-01-05,116593
2023-01-06,125997
2023-01-07,110605
2023-01-08,89621
2023-01-09,93371
2023-01-10,123350
2023-01-11,86014
2023-01-12,109811
2023-01-13,157545
2023-01-14,87306
2023-01-15,247092
2023-01-16,119364
2023-01-17,71523
2023-01-18,73823
2023-01-19,64311
2023-01-20,90731
2023-01-21,87279
2023-01-22,63600
2023-01-23,69887
2023-01-24,65796
