date,iron buy
2022-05-15,150420
2022-05-16,119272
2022-05-17,121241
2022-05-18,180079
2022-05-19,117952
2022-05-20,168806
2022-05-21,142372
2022-05-22,137373
2022-05-23,104794
2022-05-24,120818
2022-05-25,102060
2022-05-26,88591
2022-05-27,95140
2022-05-28,125104
2022-05-29,125582
2022-05-30,91530
2022-05-31,114399
2022-06-01,108472
2022-06-02,98208
2022-06-03,69575
2022-06-04,111098
2022-06-05,122288
2022-06-06,121455
2022-06-07,83351
2022-06-08,124150
2022-06-09,94740
2022-06-10,112506
2022-06-11,98341
2022-06-12,147665
2022-06-13,146707
2022-06-14,111512
2022-06-15,85547
2022-06-16,114979
2022-06-17,122361
2022-06-18,112066
2022-06-19,152649
2022-06-20,135086
2022-06-21,115567
2022-06-22,140997
2022-06-23,108485
2022-06-24,109051
2022-06-25,101288
2022-06-26,137845
2022-06-27,129929
2022-06-28,115267
2022-06-29,105302
2022-06-30,72857
2022-07-01,132557
2022-07-02,85696
2022-07-03,42501
2022-07-04,90489
2022-07-05,108658
2022-07-06,102556
2022-07-07,129273
2022-07-08,81016
2022-07-09,93243
2022-07-10,113955
2022-07-11,107535
2022-07-12,98697
2022-07-13,92364
2022-07-14,91275
2022-07-15,85575
2022-07-16,98801
2022-07-17,84142
2022-07-18,94820
2022-07-19,71636
2022-07-20,167939
2022-07-21,98630
2022-07-22,105336
2022-07-23,71467
2022-07-24,140319
2022-07-25,76981
2022-07-26,113895
2022-07-27,102027
2022-07-28,95884
2022-07-29,113401
2022-07-30,79219
2022-07-31,99919
2022-08-01,164840
2022-08-02,92074
2022-08-03,135712
2022-08-04,104834
2022-08-05,191020
2022-08-06,93751
2022-08-07,147550
2022-08-08,110001
2022-08-09,101445
2022-08-10,150873
2022-08-11,93450
2022-08-12,105517
2022-08-13,112368
2022-08-14,113957
2022-08-15,166251
2022-08-16,214542
2022-08-17,129328
2022-08-18,125367
2022-08-19,115896
2022-08-20,201479
2022-08-21,178645
2022-08-22,136773
2022-08-23,182771
2022-08-24,170408
2022-08-25,162525
2022-08-26,150059
2022-08-27,188331
2022-08-28,165385
2022-08-29,152037
2022-08-30,171339
2022-08-31,115252
2022-09-01,179404
2022-09-02,151995
2022-09-03,234442
2022-09-04,119368
2022-09-05,228914
2022-09-06,110938
2022-09-07,157982
2022-09-08,251617
2022-09-09,204211
2022-09-10,105354
2022-09-11,170027
2022-09-12,166711
2022-09-13,213018
2022-09-14,205142
2022-09-15,201999
2022-09-16,186708
2022-09-17,229884
2022-09-18,164629
2022-09-19,163824
2022-09-20,187559
2022-09-21,309499
2022-09-22,167372
2022-09-23,206227
2022-09-24,113922
2022-09-25,180536
2022-09-26,156733
2022-09-27,222130
2022-09-28,169284
2022-09-29,213296
2022-09-30,191812
2022-10-01,235869
2022-10-02,173902
2022-10-03,152289
2022-10-04,129050
2022-10-05,104826
2022-10-06,123449
2022-10-07,251106
2022-10-08,139084
2022-10-09,238514
2022-10-10,186440
2022-10-11,128502
2022-10-12,107022
2022-10-13,166882
2022-10-14,269002
2022-10-15,265489
2022-10-16,220834
2022-10-17,168505
2022-10-18,203383
2022-10-19,122530
2022-10-20,171234
2022-10-21,191638
2022-10-22,143802
2022-10-23,171533
2022-10-24,165655
2022-10-25,204633
2022-10-26,160133
2022-10-27,152319
2022-10-28,237311
2022-10-29,125728
2022-10-30,157185
2022-10-31,167171
2022-11-01,190303
2022-11-02,137883
2022-11-03,241002
2022-11-04,187446
2022-11-05,232247
2022-11-06,199533
2022-11-07,179780
2022-11-08,195624
2022-11-09,193263
2022-11-10,87194
2022-11-11,253773
2022-11-12,220029
2022-11-13,109204
2022-11-14,104782
2022-11-15,96181
2022-11-16,177582
2022-11-17,112580
2022-11-18,115475
2022-11-19,166050
2022-11-20,119717
2022-11-21,90619
2022-11-22,73308
2022-11-23,122043
2022-11-24,105219
2022-11-25,155915
2022-11-26,192947
2022-11-27,114431
2022-11-28,122061
2022-11-29,137611
2022-11-30,116548
2022-12-01,87588
2022-12-02,208484
2022-12-03,98473
2022-12-04,234996
2022-12-05,120417
2022-12-06,103878
2022-12-07,66140
2022-12-08,117984
2022-12-09,87064
2022-12-10,153087
2022-12-11,108448
2022-12-12,136362
2022-12-13,91959
2022-12-14,90208
2022-12-15,100975
2022-12-16,177021
2022-12-17,102305
