date,munitions buy
2022-08-17,293668
2022-08-18,102778
2022-08-19,119037
2022-08-20,117758
2022-08-21,270049
2022-08-22,189001
2022-08-23,254888
2022-08-24,186356
2022-08-25,242583
2022-08-26,305364
2022-08-27,213084
2022-08-28,144164
2022-08-29,196887
2022-08-30,203601
2022-08-31,184324
2022-09-01,79489
2022-09-02,158180
2022-09-03,168437
2022-09-04,125676
2022-09-05,208495
2022-09-06,82814
2022-09-07,109249
2022-09-08,412632
2022-09-09,168150
2022-09-10,221428
2022-09-11,297300
2022-09-12,261134
2022-09-13,376662
2022-09-14,151951
2022-09-15,110161
2022-09-16,204256
2022-09-17,215445
2022-09-18,295914
2022-09-19,225123
2022-09-20,185142
2022-09-21,385586
2022-09-22,136597
2022-09-23,269944
2022-09-24,227436
2022-09-25,337375
2022-09-26,307781
2022-09-27,174899
2022-09-28,215091
2022-09-29,142982
2022-09-30,170715
2022-10-01,186949
2022-10-02,362471
2022-10-03,225640
2022-10-04,309395
2022-10-05,148744
2022-10-06,160069
2022-10-07,395778
2022-10-08,209844
2022-10-09,268731
2022-10-10,215322
2022-10-11,163140
2022-10-12,339422
2022-10-13,268114
2022-10-14,379071
2022-10-15,407053
2022-10-16,479838
2022-10-17,116152
2022-10-18,211104
2022-10-19,166590
2022-10-20,353541
2022-10-21,140878
2022-10-22,363727
2022-10-23,476482
2022-10-24,481113
2022-10-25,230441
2022-10-26,214630
2022-10-27,308611
2022-10-28,279309
2022-10-29,200542
2022-10-30,316149
2022-10-31,328408
2022-11-01,219862
2022-11-02,470751
2022-11-03,383928
2022-11-04,195346
2022-11-05,286991
2022-11-06,285696
2022-11-07,257187
2022-11-08,217701
2022-11-09,275494
2022-11-10,246006
2022-11-11,286279
2022-11-12,206779
2022-11-13,76884
2022-11-14,238138
2022-11-15,326958
2022-11-16,408331
2022-11-17,91231
2022-11-18,77749
2022-11-19,186241
2022-11-20,102101
2022-11-21,208301
2022-11-22,50270
2022-11-23,90706
2022-11-24,121772
2022-11-25,78101
2022-11-26,161677
2022-11-27,133661
2022-11-28,206175
2022-11-29,170028
2022-11-30,215984
2022-12-01,130282
2022-12-02,152129
2022-12-03,87905
2022-12-04,216382
2022-12-05,138379
2022-12-06,173723
2022-12-07,312324
2022-12-08,190395
2022-12-09,34231
2022-12-10,201659
2022-12-11,179915
2022-12-12,257056
2022-12-13,175998
2022-12-14,94782
2022-12-15,192076
2022-12-16,119831
2022-12-17,192111
2022-12-18,160114
2022-12-19,214062
2022-12-20,89491
2022-12-21,157407
2022-12-22,177905
2022-12-23,307430
2022-12-24,35452
2022-12-25,64587
2022-12-26,55901
2022-12-27,167004
2022-12-28,88527
2022-12-29,298503
2022-12-30,117999
2022-12-31,119933
2023-01-01,106541
2023-01-02,96158
2023-01-03,195734
2023-01-04,174257
2023-01-05,159692
2023-01-06,121509
2023-01-07,167693
2023-01-08,194883
2023-01-09,151984
2023-01-10,346852
2023-01-11,255133
2023-01-12,263321
2023-01-13,232525
2023-01-14,150809
2023-01-15,198630
2023-01-16,329060
2023-01-17,247575
2023-01-18,37113
2023-01-19,131488
2023-01-20,160321
2023-01-21,167203
2023-01-22,297129
2023-01-23,254985
2023-01-24,301983
2023-01-25,293820
2023-01-26,280675
2023-01-27,59378
2023-01-28,406529
2023-01-29,518163
2023-01-30,495768
2023-01-31,171231
2023-02-01,375085
2023-02-02,121293
2023-02-03,178721
2023-02-04,343974
2023-02-05,171568
2023-02-06,331954
2023-02-07,272182
2023-02-08,195424
2023-02-09,147896
2023-02-10,122046
2023-02-11,363588
2023-02-12,485577
2023-02-13,219269
2023-02-14,681967
2023-02-15,226501
2023-02-16,286437
2023-02-17,188433
2023-02-18,235650
2023-02-19,132913
2023-02-20,193307
2023-02-21,147887
2023-02-22,298957
2023-02-23,195344
2023-02-24,67235
2023-02-25,295134
2023-02-26,180556
2023-02-27,350420
2023-02-28,443579
2023-03-01,158452
2023-03-02,219865
2023-03-03,185914
2023-03-04,337687
2023-03-05,204555
2023-03-06,186709
2023-03-07,175094
2023-03-08,264175
2023-03-09,587789
2023-03-10,263014
2023-03-11,247571
2023-03-12,218060
2023-03-13,275467
2023-03-14,311520
2023-03-15,134155
2023-03-16,234843
2023-03-17,214565
2023-03-18,77783
2023-03-19,212419
2023-03-20,315946
2023-03-21,366408
2023-03-22,211652
2023-03-23,310881
2023-03-24,224730
2023-03-25,185543
2023-03-26,144671
2023-03-27,253241
2023-03-28,320676
2023-03-29,318319
2023-03-30,152541
2023-03-31,234664
2023-04-01,194601
2023-04-02,330765
2023-04-03,148317
2023-04-04,137615
2023-04-05,179609
2023-04-06,276799
2023-04-07,124067
2023-04-08,182335
2023-04-09,230216
2023-04-10,381584
2023-04-11,213637
2023-04-12,203810
2023-04-13,238249
2023-04-14,96823
2023-04-15,232587
2023-04-16,210035
2023-04-17,145358
2023-04-18,595946
2023-04-19,269879
2023-04-20,104496
