date,lead buy
2022-09-04,90146
2022-09-05,113086
2022-09-06,125277
2022-09-07,88176
2022-09-08,111019
2022-09-09,120544
2022-09-10,96090
2022-09-11,85868
2022-09-12,107607
2022-09-13,114553
2022-09-14,111596
2022-09-15,152688
2022-09-16,132548
2022-09-17,141680
2022-09-18,142380
2022-09-19,104168
2022-09-20,128022
2022-09-21,182003
2022-09-22,83262
2022-09-23,119613
2022-09-24,73246
2022-09-25,175320
2022-09-26,78398
2022-09-27,132309
2022-09-28,70648
2022-09-29,130227
2022-09-30,59133
2022-10-01,109026
2022-10-02,103606
2022-10-03,104494
2022-10-04,114966
2022-10-05,96016
2022-10-06,75678
2022-10-07,155604
2022-10-08,189410
2022-10-09,92926
2022-10-10,154931
2022-10-11,149857
2022-10-12,96303
2022-10-13,110174
2022-10-14,198075
2022-10-15,142546
2022-10-16,176674
2022-10-17,81771
2022-10-18,98136
2022-10-19,111809
2022-10-20,107182
2022-10-21,116257
2022-10-22,157083
2022-10-23,135512
2022-10-24,112296
2022-10-25,118632
2022-10-26,121543
2022-10-27,227059
2022-10-28,170616
2022-10-29,83631
2022-10-30,86800
2022-10-31,152004
2022-11-01,188278
2022-11-02,238109
2022-11-03,123064
2022-11-04,115770
2022-11-05,191436
2022-11-06,111339
2022-11-07,154960
2022-11-08,204868
2022-11-09,135525
2022-11-10,86893
2022-11-11,204098
2022-11-12,145533
2022-11-13,79251
2022-11-14,49723
2022-11-15,56747
2022-11-16,240442
2022-11-17,70348
2022-11-18,52603
2022-11-19,81210
2022-11-20,52009
2022-11-21,51324
2022-11-22,56721
2022-11-23,111243
2022-11-24,87601
2022-11-25,119633
2022-11-26,47346
2022-11-27,72947
2022-11-28,96472
2022-11-29,82145
2022-11-30,89741
2022-12-01,67978
2022-12-02,156665
2022-12-03,80091
2022-12-04,99283
2022-12-05,65729
2022-12-06,101152
2022-12-07,55510
2022-12-08,88729
2022-12-09,79622
2022-12-10,83277
2022-12-11,94750
2022-12-12,96492
2022-12-13,31242
2022-12-14,88818
2022-12-15,43328
2022-12-16,104783
2022-12-17,74281
2022-12-18,64492
2022-12-19,69274
2022-12-20,69479
2022-12-21,98777
2022-12-22,64912
2022-12-23,104154
2022-12-24,71460
2022-12-25,74976
2022-12-26,92380
2022-12-27,106268
2022-12-28,80742
2022-12-29,105034
2022-12-30,108078
2022-12-31,42741
2023-01-01,81937
2023-01-02,75998
2023-01-03,108022
2023-01-04,121444
2023-01-05,91078
2023-01-06,133654
2023-01-07,256400
2023-01-08,169712
2023-01-09,119266
2023-01-10,182074
2023-01-11,84878
2023-01-12,56304
2023-01-13,79585
2023-01-14,127919
2023-01-15,164109
2023-01-16,52511
2023-01-17,103473
2023-01-18,109228
2023-01-19,118836
2023-01-20,61029
2023-01-21,99455
2023-01-22,38693
2023-01-23,189321
2023-01-24,67190
2023-01-25,262636
2023-01-26,107701
2023-01-27,132172
2023-01-28,198639
2023-01-29,90019
2023-01-30,75373
2023-01-31,176697
2023-02-01,216201
2023-02-02,120372
2023-02-03,124624
2023-02-04,196857
2023-02-05,80727
2023-02-06,300187
2023-02-07,178514
2023-02-08,139370
2023-02-09,90684
2023-02-10,241945
2023-02-11,257073
2023-02-12,133328
2023-02-13,169622
2023-02-14,93559
2023-02-15,103688
2023-02-16,123142
2023-02-17,186941
2023-02-18,174232
2023-02-19,158980
2023-02-20,47688
2023-02-21,117796
2023-02-22,81065
2023-02-23,207356
2023-02-24,65921
2023-02-25,128550
2023-02-26,229740
2023-02-27,161973
2023-02-28,109656
2023-03-01,132352
2023-03-02,98347
2023-03-03,135107
2023-03-04,145526
2023-03-05,121827
2023-03-06,76586
2023-03-07,209093
2023-03-08,87012
2023-03-09,164644
2023-03-10,129986
2023-03-11,129224
2023-03-12,160349
2023-03-13,171060
2023-03-14,111769
2023-03-15,153802
2023-03-16,115968
2023-03-17,238222
2023-03-18,73415
2023-03-19,57497
2023-03-20,86196
2023-03-21,106246
2023-03-22,136052
2023-03-23,229084
2023-03-24,82310
2023-03-25,68223
2023-03-26,92117
2023-03-27,109121
2023-03-28,86772
2023-03-29,122806
2023-03-30,72563
2023-03-31,79219
2023-04-01,124921
2023-04-02,90824
2023-04-03,40595
2023-04-04,81757
2023-04-05,87553
2023-04-06,65827
2023-04-07,82221
2023-04-08,71569
2023-04-09,82747
2023-04-10,98794
2023-04-11,88004
2023-04-12,83239
2023-04-13,145334
2023-04-14,184794
2023-04-15,169116
2023-04-16,123987
2023-04-17,88969
