date,oil buy
2022-03-09,140058
2022-03-10,99924
2022-03-11,49699
2022-03-12,99659
2022-03-13,91251
2022-03-14,106475
2022-03-15,88747
2022-03-16,118116
2022-03-17,143057
2022-03-18,118852
2022-03-19,48513
2022-03-20,96833
2022-03-21,81065
2022-03-22,81774
2022-03-23,83048
2022-03-24,128782
2022-03-25,86830
2022-03-26,134361
2022-03-27,83257
2022-03-28,128987
2022-03-29,125209
2022-03-30,95635
2022-03-31,82064
2022-04-01,105910
2022-04-02,86964
2022-04-03,85303
2022-04-04,160460
2022-04-05,98822
2022-04-06,92538
2022-04-07,113887
2022-04-08,141250
2022-04-09,108583
2022-04-10,120434
2022-04-11,128042
2022-04-12,109881
2022-04-13,156691
2022-04-14,83023
2022-04-15,188422
2022-04-16,212230
2022-04-17,59471
2022-04-18,142527
2022-04-19,111031
2022-04-20,95799
2022-04-21,105418
2022-04-22,82394
2022-04-23,113530
2022-04-24,162511
2022-04-25,97445
2022-04-26,95055
2022-04-27,146694
2022-04-28,95350
2022-04-29,105512
2022-04-30,134828
2022-05-01,176123
2022-05-02,110634
2022-05-03,129717
2022-05-04,90174
2022-05-05,103517
2022-05-06,181868
2022-05-07,167301
2022-05-08,102627
2022-05-09,156348
2022-05-10,119187
2022-05-11,90705
2022-05-12,186560
2022-05-13,140368
2022-05-14,90349
2022-05-15,130498
2022-05-16,111061
2022-05-17,200632
2022-05-18,158056
2022-05-19,178730
2022-05-20,170768
2022-05-21,81210
2022-05-22,173922
2022-05-23,130662
2022-05-24,118387
2022-05-25,108065
2022-05-26,176304
2022-05-27,280885
2022-05-28,120805
2022-05-29,168680
2022-05-30,148756
2022-05-31,117986
2022-06-01,87053
2022-06-02,113907
2022-06-03,109817
2022-06-04,87609
2022-06-05,131085
2022-06-06,183802
2022-06-07,96265
2022-06-08,78934
2022-06-09,115490
2022-06-10,101466
2022-06-11,144383
2022-06-12,185485
2022-06-13,153651
2022-06-14,158637
2022-06-15,110088
2022-06-16,121160
2022-06-17,128495
2022-06-18,130319
2022-06-19,102734
2022-06-20,158329
2022-06-21,131433
2022-06-22,135372
2022-06-23,131901
2022-06-24,235939
2022-06-25,129153
2022-06-26,113613
2022-06-27,122492
2022-06-28,127016
2022-06-29,124476
2022-06-30,90580
2022-07-01,77906
2022-07-02,112920
2022-07-03,101485
2022-07-04,100820
2022-07-05,92787
2022-07-06,80879
2022-07-07,97190
2022-07-08,71344
2022-07-09,83594
2022-07-10,143542
2022-07-11,101248
2022-07-12,83695
2022-07-13,103393
2022-07-14,76437
2022-07-15,91721
2022-07-16,88865
2022-07-17,122360
2022-07-18,71313
2022-07-19,106851
2022-07-20,139162
2022-07-21,110598
2022-07-22,101756
2022-07-23,85924
2022-07-24,101083
2022-07-25,113339
2022-07-26,119703
2022-07-27,87661
2022-07-28,136901
2022-07-29,97027
2022-07-30,117400
2022-07-31,121804
2022-08-01,139949
2022-08-02,106613
2022-08-03,144467
2022-08-04,198196
2022-08-05,120730
2022-08-06,158061
2022-08-07,167009
2022-08-08,147518
2022-08-09,131765
2022-08-10,162282
2022-08-11,109469
2022-08-12,186733
2022-08-13,174099
2022-08-14,84990
2022-08-15,196064
2022-08-16,149837
2022-08-17,171584
2022-08-18,167170
2022-08-19,125074
2022-08-20,136982
2022-08-21,119028
2022-08-22,121891
2022-08-23,185074
2022-08-24,211459
2022-08-25,193958
2022-08-26,162561
2022-08-27,141405
2022-08-28,170437
2022-08-29,234097
2022-08-30,177916
2022-08-31,138340
2022-09-01,213153
2022-09-02,171427
2022-09-03,143288
2022-09-04,153898
2022-09-05,96585
2022-09-06,166483
2022-09-07,125217
2022-09-08,139637
2022-09-09,121596
2022-09-10,251154
2022-09-11,61803
2022-09-12,88903
2022-09-13,275675
2022-09-14,136080
2022-09-15,139517
2022-09-16,140615
2022-09-17,188977
2022-09-18,211659
2022-09-19,134556
2022-09-20,169524
2022-09-21,128527
2022-09-22,161485
2022-09-23,109780
2022-09-24,137006
2022-09-25,222781
2022-09-26,163664
2022-09-27,149646
2022-09-28,125154
2022-09-29,208201
2022-09-30,129162
2022-10-01,194703
2022-10-02,124848
2022-10-03,183246
2022-10-04,146704
2022-10-05,175298
2022-10-06,121698
2022-10-07,189527
2022-10-08,251211
2022-10-09,123569
2022-10-10,146153
2022-10-11,154742
2022-10-12,235203
2022-10-13,213703
2022-10-14,227715
2022-10-15,121094
2022-10-16,228418
2022-10-17,145878
2022-10-18,119765
2022-10-19,138402
2022-10-20,216350
2022-10-21,146302
2022-10-22,288233
2022-10-23,194858
2022-10-24,138885
2022-10-25,109067
2022-10-26,114850
2022-10-27,68599
2022-10-28,133191
2022-10-29,232886
2022-10-30,174259
2022-10-31,200876
2022-11-01,142840
2022-11-02,154476
2022-11-03,168325
2022-11-04,146855
2022-11-05,359366
2022-11-06,220392
2022-11-07,172697
2022-11-08,174460
2022-11-09,155109
2022-11-10,129290
2022-11-11,221172
2022-11-12,182054
2022-11-13,200146
2022-11-14,97833
2022-11-15,75664
2022-11-16,253295
2022-11-17,61699
2022-11-18,101208
2022-11-19,68431
2022-11-20,114903
2022-11-21,116413
2022-11-22,60372
2022-11-23,125928
2022-11-24,119464
2022-11-25,104401
2022-11-26,131935
2022-11-27,135935
2022-11-28,128191
2022-11-29,91065
2022-11-30,85205
2022-12-01,113311
2022-12-02,113442
2022-12-03,116585
2022-12-04,127460
2022-12-05,140036
2022-12-06,95073
2022-12-07,109356
2022-12-08,103488
2022-12-09,126103
2022-12-10,285484
2022-12-11,134664
2022-12-12,148505
2022-12-13,60589
2022-12-14,139949
2022-12-15,70817
2022-12-16,143677
2022-12-17,120691
2022-12-18,116218
2022-12-19,136227
2022-12-20,105944
2022-12-21,133996
2022-12-22,139305
2022-12-23,140924
2022-12-24,229773
2022-12-25,121665
2022-12-26,162164
2022-12-27,147350
2022-12-28,176049
2022-12-29,145952
2022-12-30,44152
2022-12-31,133838
2023-01-01,104907
2023-01-02,109721
2023-01-03,120102
2023-01-04,95089
2023-01-05,142414
2023-01-06,207887
2023-01-07,169792
2023-01-08,97321
2023-01-09,132023
2023-01-10,169107
2023-01-11,66375
2023-01-12,147221
2023-01-13,69716
2023-01-14,123035
2023-01-15,169113
2023-01-16,108826
2023-01-17,56746
2023-01-18,89770
2023-01-19,115262
2023-01-20,137533
2023-01-21,55627
2023-01-22,117071
2023-01-23,139009
2023-01-24,189519
2023-01-25,64426
2023-01-26,153613
2023-01-27,124990
2023-01-28,146654
2023-01-29,305026
2023-01-30,213975
2023-01-31,87010
2023-02-01,205178
2023-02-02,89370
2023-02-03,158864
2023-02-04,505497
2023-02-05,198159
2023-02-06,162813
2023-02-07,109471
2023-02-08,128186
2023-02-09,127604
2023-02-10,289293
2023-02-11,155225
2023-02-12,276290
2023-02-13,178155
2023-02-14,224002
2023-02-15,237428
2023-02-16,133555
2023-02-17,197123
2023-02-18,107634
2023-02-19,145761
2023-02-20,124267
2023-02-21,99242
2023-02-22,127666
2023-02-23,157190
2023-02-24,88917
2023-02-25,166557
2023-02-26,116249
2023-02-27,192504
2023-02-28,139915
2023-03-01,365245
2023-03-02,167745
2023-03-03,215376
2023-03-04,144160
2023-03-05,265469
2023-03-06,334251
2023-03-07,389051
2023-03-08,132018
2023-03-09,217083
2023-03-10,144527
2023-03-11,156421
2023-03-12,170053
2023-03-13,214868
2023-03-14,186136
2023-03-15,140284
2023-03-16,196011
2023-03-17,168991
2023-03-18,135639
2023-03-19,114575
2023-03-20,131347
2023-03-21,278596
2023-03-22,230048
2023-03-23,97664
2023-03-24,178290
2023-03-25,106233
2023-03-26,234699
2023-03-27,204847
2023-03-28,80506
2023-03-29,137679
2023-03-30,70380
2023-03-31,164388
2023-04-01,197356
2023-04-02,130132
2023-04-03,89089
2023-04-04,95609
2023-04-05,93824
2023-04-06,96975
2023-04-07,132287
2023-04-08,122426
2023-04-09,147628
2023-04-10,144543
2023-04-11,128547
2023-04-12,113550
2023-04-13,242063
2023-04-14,71309
2023-04-15,361516
2023-04-16,109867
2023-04-17,126014
2023-04-18,101826
2023-04-19,163926
2023-04-20,148567
2023-04-21,168675
2023-04-22,128766
2023-04-23,88274
2023-04-24,163425
2023-04-25,195115
2023-04-26,277859
2023-04-27,113575
2023-04-28,99155
2023-04-29,108536
2023-04-30,121382
2023-05-01,123307
2023-05-02,83850
2023-05-03,98459
2023-05-04,104974
2023-05-05,108295
2023-05-06,189713
2023-05-07,119188
2023-05-08,123677
2023-05-09,63214
2023-05-10,223479
2023-05-11,127074
2023-05-12,63398
2023-05-13,104323
2023-05-14,74928
2023-05-15,105730
2023-05-16,112695
2023-05-17,104036
2023-05-18,178621
2023-05-19,194070
2023-05-20,170210
2023-05-21,190990
2023-05-22,114842
2023-05-23,113803
2023-05-24,121744
2023-05-25,123718
2023-05-26,148062
2023-05-27,98042
