date,munitions buy
2022-10-24,1816
2022-10-25,1791
2022-10-26,1774
2022-10-27,1780
2022-10-28,1781
2022-10-29,1795
2022-10-30,1797
2022-10-31,1789
2022-11-01,1809
2022-11-02,1809
2022-11-03,1813
2022-11-04,1802
2022-11-05,1795
2022-11-06,1786
2022-11-07,1785
2022-11-08,1802
2022-11-09,1792
2022-11-10,1767
2022-11-11,1792
2022-11-12,1811
2022-11-13,1863
2022-11-14,1849
2022-11-15,1837
2022-11-16,1825
2022-11-17,1814
2022-11-18,1826
2022-11-19,1814
2022-11-20,1777
2022-11-21,1774
2022-11-22,1821
2022-11-23,1809
2022-11-24,1822
2022-11-25,1829
2022-11-26,1822
2022-11-27,1774
2022-11-28,1781
2022-11-29,1782
2022-11-30,1740
2022-12-01,1729
2022-12-02,1729
2022-12-03,1782
2022-12-04,1753
2022-12-05,1750
2022-12-06,1749
2022-12-07,1760
2022-12-08,1758
2022-12-09,1772
2022-12-10,1773
2022-12-11,1758
2022-12-12,1752
2022-12-13,1748
2022-12-14,1776
2022-12-15,1771
2022-12-16,1762
2022-12-17,1744
2022-12-18,1708
2022-12-19,1567
2022-12-20,1755
2022-12-21,1769
2022-12-22,1783
2022-12-23,1762
2022-12-24,1743
2022-12-25,1789
2022-12-26,1802
2022-12-27,1777
2022-12-28,1778
2022-12-29,1798
2022-12-30,1824
2022-12-31,1780
2023-01-01,1813
2023-01-02,1824
2023-01-03,1831
2023-01-04,1814
2023-01-05,1492
2023-01-06,1483
2023-01-07,1576
2023-01-08,1639
2023-01-09,1681
2023-01-10,1699
2023-01-11,1685
2023-01-12,1603
2023-01-13,1482
2023-01-14,1609
2023-01-15,1685
2023-01-16,1675
2023-01-17,1491
2023-01-18,1511
2023-01-19,1686
2023-01-20,1669
2023-01-21,1682
2023-01-22,1636
2023-01-23,1658
2023-01-24,1613
2023-01-25,1515
2023-01-26,1582
2023-01-27,1591
2023-01-28,1640
2023-01-29,1598
2023-01-30,1577
2023-01-31,1559
2023-02-01,1595
2023-02-02,1624
2023-02-03,1674
2023-02-04,1793
2023-02-05,1672
2023-02-06,1680
2023-02-07,1651
2023-02-08,1642
2023-02-09,1656
2023-02-10,1671
2023-02-11,1660
2023-02-12,1627
2023-02-13,1625
2023-02-14,1607
2023-02-15,1593
2023-02-16,1613
2023-02-17,1601
2023-02-18,1621
2023-02-19,1629
2023-02-20,1603
2023-02-21,1623
2023-02-22,1622
2023-02-23,1685
2023-02-24,1630
2023-02-25,1638
2023-02-26,1707
2023-02-27,1597
2023-02-28,1569
2023-03-01,1571
2023-03-02,1578
2023-03-03,1603
2023-03-04,1611
2023-03-05,1629
2023-03-06,1626
2023-03-07,1634
2023-03-08,1632
2023-03-09,1625
2023-03-10,1602
2023-03-11,1598
2023-03-12,1591
2023-03-13,1601
2023-03-14,1598
2023-03-15,1583
2023-03-16,1590
2023-03-17,1600
2023-03-18,1616
2023-03-19,1623
2023-03-20,1612
2023-03-21,1605
2023-03-22,1624
2023-03-23,1610
2023-03-24,1572
2023-03-25,1598
2023-03-26,1614
2023-03-27,1607
2023-03-28,1571
2023-03-29,1573
2023-03-30,1583
2023-03-31,1582
2023-04-01,1580
2023-04-02,1570
2023-04-03,1563
2023-04-04,1611
2023-04-05,1626
2023-04-06,1602
2023-04-07,1579
2023-04-08,1596
2023-04-09,1562
2023-04-10,1527
2023-04-11,1523
2023-04-12,1537
2023-04-13,1540
2023-04-14,1537
2023-04-15,1626
2023-04-16,1605
2023-04-17,1645
2023-04-18,1544
2023-04-19,1622
2023-04-20,1633
2023-04-21,1641
2023-04-22,1624
2023-04-23,1613
2023-04-24,1595
2023-04-25,1637
2023-04-26,1737
2023-04-27,1665
2023-04-28,1602
2023-04-29,1723
2023-04-30,1731
2023-05-01,1734
2023-05-02,1755
2023-05-03,1747
2023-05-04,1778
2023-05-05,1711
2023-05-06,1674
