date,food buy
2023-01-22,187
2023-01-23,185
2023-01-24,184
2023-01-25,174
2023-01-26,160
2023-01-27,164
2023-01-28,165
2023-01-29,167
2023-01-30,170
2023-01-31,167
2023-02-01,150
2023-02-02,198
2023-02-03,155
2023-02-04,160
2023-02-05,153
2023-02-06,142
2023-02-07,147
2023-02-08,142
2023-02-09,138
2023-02-10,140
2023-02-11,140
2023-02-12,136
2023-02-13,136
2023-02-14,136
2023-02-15,137
2023-02-16,138
2023-02-17,134
2023-02-18,135
2023-02-19,133
2023-02-20,134
2023-02-21,134
2023-02-22,135
2023-02-23,136
2023-02-24,135
2023-02-25,139
2023-02-26,135
2023-02-27,136
2023-02-28,105
2023-03-01,137
2023-03-02,135
2023-03-03,189
2023-03-04,135
2023-03-05,135
2023-03-06,251
2023-03-07,136
2023-03-08,136
2023-03-09,136
2023-03-10,135
2023-03-11,135
2023-03-12,145
2023-03-13,136
2023-03-14,134
2023-03-15,135
2023-03-16,132
2023-03-17,133
2023-03-18,128
2023-03-19,139
2023-03-20,80
2023-03-21,129
2023-03-22,132
2023-03-23,134
2023-03-24,130
2023-03-25,129
2023-03-26,130
2023-03-27,129
2023-03-28,127
2023-03-29,129
