date,oil buy
2022-03-24,3483
2022-03-25,3439
2022-03-26,3460
2022-03-27,3432
2022-03-28,3333
2022-03-29,3339
2022-03-30,3387
2022-03-31,3361
2022-04-01,3318
2022-04-02,3292
2022-04-03,3305
2022-04-04,3351
2022-04-05,3416
2022-04-06,3395
2022-04-07,3426
2022-04-08,3415
2022-04-09,3358
2022-04-10,3296
2022-04-11,3262
2022-04-12,3311
2022-04-13,3264
2022-04-14,3222
2022-04-15,3220
2022-04-16,3249
2022-04-17,3199
2022-04-18,3203
2022-04-19,3180
2022-04-20,3298
2022-04-21,3253
2022-04-22,3174
2022-04-23,3128
2022-04-24,3131
2022-04-25,3147
2022-04-26,3158
2022-04-27,3136
2022-04-28,3188
2022-04-29,3178
2022-04-30,3123
2022-05-01,3130
2022-05-02,3180
2022-05-03,3174
2022-05-04,3148
2022-05-05,3071
2022-05-06,3077
2022-05-07,3170
2022-05-08,3160
2022-05-09,3140
2022-05-10,3179
2022-05-11,3193
2022-05-12,3188
2022-05-13,3157
2022-05-14,3125
2022-05-15,3143
2022-05-16,3113
2022-05-17,3034
2022-05-18,2970
2022-05-19,2996
2022-05-20,2970
2022-05-21,2934
2022-05-22,3065
2022-05-23,3006
2022-05-24,2990
2022-05-25,3006
2022-05-26,3005
2022-05-27,2795
2022-05-28,2909
2022-05-29,2904
2022-05-30,3084
2022-05-31,2971
2022-06-01,2938
2022-06-02,2936
2022-06-03,2883
2022-06-04,2894
2022-06-05,2949
2022-06-06,2914
2022-06-07,2872
2022-06-08,2922
2022-06-09,2920
2022-06-10,2939
2022-06-11,2923
2022-06-12,2957
2022-06-13,2804
2022-06-14,2809
2022-06-15,2769
2022-06-16,2796
2022-06-17,2681
2022-06-18,2677
2022-06-19,2675
2022-06-20,2666
2022-06-21,2614
2022-06-22,2631
2022-06-23,2621
2022-06-24,2949
2022-06-25,2938
2022-06-26,2795
2022-06-27,2708
2022-06-28,2652
2022-06-29,2606
2022-06-30,2468
2022-07-01,2469
2022-07-02,2469
2022-07-03,2592
