date,steel buy
2022-07-19,3498
2022-07-20,3504
2022-07-21,3539
2022-07-22,3534
2022-07-23,3569
2022-07-24,3553
2022-07-25,3545
2022-07-26,3421
2022-07-27,3484
2022-07-28,3505
2022-07-29,3507
2022-07-30,3557
2022-07-31,3515
2022-08-01,3510
2022-08-02,3566
2022-08-03,3520
2022-08-04,3540
2022-08-05,3596
2022-08-06,3592
2022-08-07,3579
2022-08-08,3618
2022-08-09,3713
2022-08-10,3758
2022-08-11,3729
2022-08-12,3833
2022-08-13,3811
2022-08-14,3643
2022-08-15,3762
2022-08-16,3865
2022-08-17,3782
2022-08-18,3731
2022-08-19,3805
2022-08-20,3795
2022-08-21,3749
2022-08-22,3765
2022-08-23,3727
2022-08-24,3655
2022-08-25,3598
2022-08-26,3611
2022-08-27,3698
2022-08-28,3772
2022-08-29,3775
2022-08-30,3764
2022-08-31,3713
2022-09-01,3735
2022-09-02,3726
2022-09-03,3861
2022-09-04,3806
2022-09-05,3788
2022-09-06,3813
2022-09-07,3786
2022-09-08,3737
2022-09-09,3733
2022-09-10,3734
2022-09-11,3718
2022-09-12,3721
2022-09-13,3718
2022-09-14,3750
2022-09-15,3731
2022-09-16,3718
2022-09-17,3768
2022-09-18,3697
2022-09-19,3573
2022-09-20,3611
2022-09-21,3683
2022-09-22,3703
2022-09-23,3715
2022-09-24,3665
2022-09-25,3683
2022-09-26,3673
2022-09-27,3542
2022-09-28,3583
2022-09-29,3542
2022-09-30,3673
2022-10-01,3673
2022-10-02,3560
2022-10-03,3489
2022-10-04,3593
2022-10-05,3607
2022-10-06,3581
2022-10-07,3575
2022-10-08,3534
2022-10-09,3520
2022-10-10,3433
2022-10-11,3437
2022-10-12,3404
2022-10-13,3488
2022-10-14,3545
2022-10-15,3526
2022-10-16,3523
2022-10-17,3538
2022-10-18,3530
2022-10-19,3554
2022-10-20,3491
2022-10-21,3504
2022-10-22,3539
2022-10-23,3500
2022-10-24,3518
2022-10-25,3506
2022-10-26,3516
2022-10-27,3535
2022-10-28,3555
2022-10-29,3583
2022-10-30,3638
2022-10-31,3613
2022-11-01,3600
2022-11-02,3623
2022-11-03,3624
2022-11-04,3693
2022-11-05,3642
2022-11-06,3639
2022-11-07,3583
2022-11-08,3526
2022-11-09,3532
2022-11-10,3579
2022-11-11,3651
2022-11-12,3662
2022-11-13,3674
2022-11-14,3681
2022-11-15,3639
2022-11-16,3641
2022-11-17,3636
2022-11-18,3641
2022-11-19,3696
2022-11-20,3683
2022-11-21,3594
2022-11-22,3587
2022-11-23,3574
2022-11-24,3590
2022-11-25,3592
2022-11-26,3541
2022-11-27,3501
2022-11-28,3481
2022-11-29,3509
2022-11-30,3537
2022-12-01,3516
2022-12-02,3536
2022-12-03,3556
2022-12-04,3524
2022-12-05,3480
2022-12-06,3478
2022-12-07,3491
2022-12-08,3485
2022-12-09,3503
2022-12-10,3510
2022-12-11,3522
2022-12-12,3500
2022-12-13,3469
2022-12-14,3503
2022-12-15,3494
2022-12-16,3475
2022-12-17,3320
2022-12-18,3418
2022-12-19,3333
2022-12-20,3415
2022-12-21,3389
2022-12-22,3443
2022-12-23,3529
2022-12-24,3484
2022-12-25,3462
2022-12-26,3467
2022-12-27,3441
2022-12-28,3418
2022-12-29,3476
2022-12-30,3518
2022-12-31,3412
2023-01-01,3479
2023-01-02,3537
2023-01-03,3557
2023-01-04,3512
2023-01-05,3102
2023-01-06,3040
2023-01-07,3306
2023-01-08,3438
2023-01-09,3392
2023-01-10,3403
2023-01-11,3384
2023-01-12,3408
2023-01-13,3419
2023-01-14,3453
2023-01-15,3372
2023-01-16,3173
2023-01-17,3089
2023-01-18,2996
2023-01-19,3113
2023-01-20,3156
2023-01-21,3170
2023-01-22,3130
2023-01-23,3077
2023-01-24,3031
2023-01-25,2940
2023-01-26,2928
2023-01-27,2925
2023-01-28,2963
2023-01-29,2961
2023-01-30,2899
2023-01-31,2881
2023-02-01,2814
2023-02-02,2862
2023-02-03,2921
2023-02-04,2895
2023-02-05,2871
2023-02-06,2987
2023-02-07,2935
2023-02-08,2945
2023-02-09,3005
2023-02-10,2969
2023-02-11,2926
2023-02-12,2947
2023-02-13,2925
2023-02-14,2901
2023-02-15,2952
2023-02-16,2953
2023-02-17,2953
2023-02-18,2917
2023-02-19,2898
2023-02-20,2928
2023-02-21,2878
2023-02-22,2943
2023-02-23,2916
2023-02-24,2899
2023-02-25,2953
2023-02-26,2893
2023-02-27,2857
2023-02-28,2864
2023-03-01,2867
2023-03-02,2818
2023-03-03,2822
2023-03-04,2905
2023-03-05,2891
2023-03-06,2843
2023-03-07,2802
2023-03-08,2820
2023-03-09,2826
2023-03-10,2827
2023-03-11,2805
2023-03-12,2782
2023-03-13,2787
2023-03-14,2772
2023-03-15,2801
2023-03-16,2810
2023-03-17,2811
2023-03-18,2748
2023-03-19,2807
2023-03-20,3259
2023-03-21,2844
2023-03-22,2801
2023-03-23,2733
2023-03-24,2716
2023-03-25,2559
2023-03-26,2578
2023-03-27,2622
2023-03-28,2586
2023-03-29,2595
2023-03-30,2712
2023-03-31,2669
2023-04-01,2621
2023-04-02,2681
2023-04-03,2670
2023-04-04,2698
2023-04-05,2670
2023-04-06,2623
2023-04-07,2662
2023-04-08,2658
2023-04-09,2632
2023-04-10,2624
2023-04-11,2561
2023-04-12,2624
2023-04-13,2611
2023-04-14,2599
2023-04-15,2630
2023-04-16,2765
2023-04-17,2701
2023-04-18,2832
2023-04-19,2847
2023-04-20,2829
2023-04-21,2809
2023-04-22,2803
2023-04-23,2813
2023-04-24,2820
2023-04-25,2950
2023-04-26,3173
2023-04-27,3068
