date,steel sell
2022-06-15,655124
2022-06-16,672566
2022-06-17,920729
2022-06-18,644404
2022-06-19,761427
2022-06-20,597075
2022-06-21,692518
2022-06-22,806061
2022-06-23,653809
2022-06-24,730435
2022-06-25,590852
2022-06-26,687277
2022-06-27,702120
2022-06-28,433433
2022-06-29,862133
2022-06-30,915124
2022-07-01,568712
2022-07-02,593585
2022-07-03,615931
2022-07-04,591512
2022-07-05,750853
2022-07-06,720140
2022-07-07,650234
2022-07-08,733661
2022-07-09,692241
2022-07-10,638124
2022-07-11,530261
2022-07-12,554598
2022-07-13,572052
2022-07-14,657593
2022-07-15,492546
2022-07-16,497315
2022-07-17,602705
2022-07-18,490686
2022-07-19,650616
2022-07-20,542910
2022-07-21,447661
2022-07-22,461502
2022-07-23,488850
2022-07-24,635195
2022-07-25,465883
2022-07-26,665287
2022-07-27,551666
2022-07-28,505037
2022-07-29,599645
2022-07-30,414687
2022-07-31,543122
2022-08-01,1568613
2022-08-02,953645
2022-08-03,1421565
2022-08-04,1167120
2022-08-05,1154766
2022-08-06,994705
2022-08-07,1373925
2022-08-08,1177616
2022-08-09,884696
2022-08-10,690230
2022-08-11,730416
2022-08-12,912152
2022-08-13,748892
2022-08-14,675532
2022-08-15,1111359
2022-08-16,950762
2022-08-17,952214
2022-08-18,945002
2022-08-19,679632
2022-08-20,646820
2022-08-21,456397
2022-08-22,673077
2022-08-23,810837
2022-08-24,768232
2022-08-25,645490
2022-08-26,838690
2022-08-27,912447
2022-08-28,655795
2022-08-29,1107400
2022-08-30,1061214
2022-08-31,761684
2022-09-01,816441
2022-09-02,889577
2022-09-03,836633
2022-09-04,983562
2022-09-05,730940
2022-09-06,810358
2022-09-07,543566
2022-09-08,476912
2022-09-09,562478
2022-09-10,608830
2022-09-11,788267
2022-09-12,681782
2022-09-13,1324446
2022-09-14,670374
2022-09-15,562472
2022-09-16,638805
2022-09-17,753823
2022-09-18,601774
2022-09-19,737820
2022-09-20,827036
2022-09-21,822148
2022-09-22,639170
2022-09-23,775843
2022-09-24,778290
2022-09-25,1017053
2022-09-26,640959
2022-09-27,608737
2022-09-28,469450
2022-09-29,712644
2022-09-30,803411
2022-10-01,758593
2022-10-02,1116442
2022-10-03,651461
2022-10-04,583281
2022-10-05,738840
2022-10-06,844947
2022-10-07,559288
2022-10-08,972653
2022-10-09,751237
2022-10-10,1107459
2022-10-11,865120
2022-10-12,761270
2022-10-13,1111463
2022-10-14,670164
2022-10-15,778629
2022-10-16,717611
2022-10-17,630319
2022-10-18,794729
2022-10-19,561144
2022-10-20,639546
2022-10-21,691734
2022-10-22,1350037
2022-10-23,783407
2022-10-24,977780
2022-10-25,711214
2022-10-26,612689
2022-10-27,734482
2022-10-28,610151
2022-10-29,501840
2022-10-30,1006065
2022-10-31,824732
2022-11-01,804123
2022-11-02,946978
2022-11-03,874847
2022-11-04,762406
2022-11-05,724513
2022-11-06,607266
2022-11-07,890076
2022-11-08,794308
2022-11-09,709352
2022-11-10,605270
2022-11-11,746289
2022-11-12,1507354
2022-11-13,933591
2022-11-14,673901
2022-11-15,673057
2022-11-16,682357
2022-11-17,633004
2022-11-18,699210
2022-11-19,699217
2022-11-20,497770
2022-11-21,479278
2022-11-22,513642
2022-11-23,688705
2022-11-24,610021
2022-11-25,412442
2022-11-26,609916
2022-11-27,482954
2022-11-28,638328
2022-11-29,617833
2022-11-30,364002
2022-12-01,526257
2022-12-02,603126
2022-12-26,478457
2022-12-27,598360
2022-12-28,667338
2022-12-29,598827
2022-12-30,638168
2022-12-31,517553
2023-01-01,694040
2023-01-02,759451
2023-01-03,507722
2023-01-04,703528
2023-01-05,613836
2023-01-06,746433
2023-01-07,620394
2023-01-08,635644
2023-01-09,661609
2023-01-10,629090
2023-01-11,505945
2023-01-12,510598
2023-01-13,595907
2023-01-14,495757
2023-01-15,515517
2023-01-16,493334
2023-01-17,500798
2023-01-18,955431
2023-01-19,458667
2023-01-20,548358
2023-01-21,683334
2023-01-22,743447
2023-01-23,616699
2023-01-24,645213
2023-01-25,821541
2023-01-26,893023
2023-01-27,741584
2023-01-28,905033
2023-01-29,557238
2023-01-30,719551
2023-01-31,715620
2023-02-01,908798
2023-02-02,920297
2023-02-03,742339
2023-02-04,708369
2023-02-05,921268
2023-02-06,1308850
2023-02-07,657363
2023-02-08,650424
2023-02-09,722483
