date,aluminum sell
2022-11-13,512147
2022-11-14,393301
2022-11-15,536200
2022-11-16,487635
2022-11-17,433823
2022-11-18,404820
2022-11-19,782080
2022-11-20,470268
2022-11-21,432326
2022-11-22,443388
2022-11-23,488488
2022-11-24,640441
2022-11-25,339239
2022-11-26,431107
2022-11-27,899355
2022-11-28,429170
2022-11-29,460517
2022-11-30,322862
2022-12-01,287854
2022-12-02,461199
2022-12-03,404492
2022-12-04,640904
2022-12-05,553296
2022-12-06,427548
2022-12-07,413615
2022-12-08,430934
2022-12-09,348978
2022-12-10,391759
2022-12-11,407343
2022-12-12,444202
2022-12-13,477846
2022-12-14,386411
2022-12-15,537083
2022-12-16,447201
2022-12-17,413514
2022-12-18,553777
2022-12-19,498560
2022-12-20,749531
2022-12-21,720970
2022-12-22,460562
2022-12-23,462532
2022-12-24,495100
2022-12-25,402188
2022-12-26,352253
2022-12-27,471702
2022-12-28,543893
2022-12-29,735576
2022-12-30,345628
2022-12-31,330485
2023-01-01,566700
2023-01-02,656549
2023-01-03,423862
2023-01-04,561299
2023-01-05,654838
2023-01-06,817783
2023-01-07,569282
2023-01-08,688142
2023-01-09,599823
2023-01-10,551633
2023-01-11,709193
2023-01-12,447879
2023-01-13,537215
2023-01-14,445636
2023-01-15,595575
2023-01-16,512288
2023-01-17,576793
2023-01-18,485790
2023-01-19,658888
2023-01-20,502835
2023-01-21,884948
2023-01-22,448039
2023-01-23,594993
2023-01-24,582741
2023-01-25,932042
2023-01-26,1224812
2023-01-27,722806
2023-01-28,693257
2023-01-29,519233
2023-01-30,683458
2023-01-31,591897
2023-02-01,785414
2023-02-02,650727
2023-02-03,480020
2023-02-04,573893
2023-02-05,592520
2023-02-06,687246
2023-02-07,593943
2023-02-08,515452
2023-02-09,661011
2023-02-10,673190
2023-02-11,600021
2023-02-12,638791
2023-02-13,645967
2023-02-14,465499
2023-02-15,536382
2023-02-16,597102
2023-02-17,662846
2023-02-18,616564
2023-02-19,663997
2023-02-20,524778
2023-02-21,841679
2023-02-22,1061042
2023-02-23,349262
2023-02-24,1000192
2023-02-25,474221
2023-02-26,573522
2023-02-27,746893
2023-02-28,573544
2023-03-01,581223
2023-03-02,622162
2023-03-03,591353
2023-03-04,677592
2023-03-05,651196
2023-03-06,1011998
2023-03-07,545661
2023-03-08,536140
