date,gasoline sell
2022-07-31,553964
2022-08-01,1234346
2022-08-02,653309
2022-08-03,1112070
2022-08-04,854226
2022-08-05,872920
2022-08-06,668554
2022-08-07,1130644
2022-08-08,874588
2022-08-09,895738
2022-08-10,789029
2022-08-11,624338
2022-08-12,510624
2022-08-13,544977
2022-08-14,387887
2022-08-15,658607
2022-08-16,439830
2022-08-17,798050
2022-08-18,423976
2022-08-19,364934
2022-08-20,337833
2022-08-21,226056
2022-08-22,455442
2022-08-23,523437
2022-08-24,577127
2022-08-25,477208
2022-08-26,459960
2022-08-27,825009
2022-08-28,666306
2022-08-29,489270
2022-08-30,960309
2022-08-31,493098
2022-09-01,631804
2022-09-02,679810
2022-09-03,497455
2022-09-04,507887
2022-09-05,351669
2022-09-06,468180
2022-09-07,372651
2022-09-08,406178
2022-09-09,403936
2022-09-10,502544
2022-09-11,548569
2022-09-12,440058
2022-09-13,494495
2022-09-14,350936
2022-09-15,406834
2022-09-16,281421
2022-09-17,480111
2022-09-18,517381
2022-09-19,770906
2022-09-20,626803
2022-09-21,488859
2022-09-22,632086
2022-09-23,506275
2022-09-24,504381
2022-09-25,390516
2022-09-26,519093
2022-09-27,441919
2022-09-28,349753
2022-09-29,363716
2022-09-30,499438
2022-10-01,618367
2022-10-02,887648
2022-10-03,470332
2022-10-04,647567
2022-10-05,357156
2022-10-06,434667
2022-10-07,472668
2022-10-08,344967
2022-10-09,563838
2022-10-10,449190
2022-10-11,500135
2022-10-12,531786
2022-10-13,664310
2022-10-14,346167
2022-10-15,452888
2022-10-16,377144
2022-10-17,434078
2022-10-18,530747
2022-10-19,331895
2022-10-20,466985
2022-10-21,402834
2022-10-22,596097
2022-10-23,932823
2022-10-24,502343
2022-10-25,530468
2022-10-26,321469
2022-10-27,523679
2022-10-28,487565
2022-10-29,398846
2022-10-30,590686
2022-10-31,905578
2022-11-01,645777
2022-11-02,1011435
2022-11-03,536120
2022-11-04,525300
2022-11-05,482804
2022-11-06,403910
2022-11-07,552470
2022-11-08,636609
2022-11-09,615314
2022-11-10,388075
2022-11-11,643616
2022-11-12,1429824
2022-11-13,573863
2022-11-14,538823
2022-11-15,420374
2022-11-16,381412
2022-11-17,520755
2022-11-18,366449
2022-11-19,384088
2022-11-20,351222
2022-11-21,506944
2022-11-22,376583
2022-11-23,332859
2022-11-24,498789
2022-11-25,429919
2022-11-26,466071
2022-11-27,389920
2022-11-28,369052
2022-11-29,461955
2022-11-30,346828
2022-12-01,437325
2022-12-02,498140
2022-12-03,389941
2022-12-04,383439
2022-12-05,344064
2022-12-06,362108
2022-12-07,442913
2022-12-08,425766
2022-12-09,348170
2022-12-10,340460
2022-12-11,456441
2022-12-12,610200
2022-12-13,456732
2022-12-14,318244
2022-12-15,443623
2022-12-16,381332
2022-12-17,477301
2022-12-18,476158
2022-12-19,406342
2022-12-20,367994
2022-12-21,449312
2022-12-22,473953
2022-12-23,613857
2022-12-24,370930
2022-12-25,308346
2022-12-26,409977
2022-12-27,506909
2022-12-28,558904
2022-12-29,543792
2022-12-30,1319290
2022-12-31,386295
2023-01-01,471374
2023-01-02,531365
2023-01-03,333390
2023-01-04,487632
2023-01-05,439754
2023-01-06,677142
2023-01-07,500564
2023-01-08,417721
2023-01-09,497819
2023-01-10,514994
2023-01-11,363792
2023-01-12,449788
2023-01-13,461089
2023-01-14,454436
2023-01-15,406863
2023-01-16,495720
2023-01-17,494138
2023-01-18,649413
2023-01-19,459394
2023-01-20,466696
2023-01-21,398758
2023-01-22,364713
2023-01-23,489389
2023-01-24,379800
2023-01-25,521913
2023-01-26,493835
2023-01-27,717323
2023-01-28,697798
2023-01-29,531676
2023-01-30,494591
2023-01-31,485455
2023-02-01,1048101
2023-02-02,580086
2023-02-03,414116
2023-02-04,548921
2023-02-05,623834
2023-02-06,548787
2023-02-07,384046
2023-02-08,504756
