date,food sell
2022-04-13,23335610
2022-04-14,16579026
2022-04-15,20299127
2022-04-16,23628271
2022-04-17,18565509
2022-04-18,25365302
2022-04-19,22725252
2022-04-20,18624822
2022-04-21,32227057
2022-04-22,21427637
2022-04-23,23424125
2022-04-24,24000797
2022-04-25,24454808
2022-04-26,23916265
2022-04-27,27300667
2022-04-28,21761346
2022-04-29,18366516
2022-04-30,14427000
2022-05-01,24012331
2022-05-02,21970322
2022-05-03,23954662
2022-05-04,16924384
2022-05-05,19427527
2022-05-06,29700922
2022-05-07,29983458
2022-05-08,26160324
2022-05-09,30060859
2022-05-10,26499495
2022-05-11,23285599
2022-05-12,17426596
2022-05-13,15972947
2022-05-14,26548488
2022-05-15,18863304
2022-05-16,21249516
2022-05-17,39050841
2022-05-18,57321952
2022-05-19,32661505
2022-05-20,32631156
2022-05-21,15982894
2022-05-22,15949692
2022-05-23,11346996
2022-05-24,17361901
2022-05-25,13092397
2022-05-26,12438142
2022-05-27,9558430
2022-05-28,13019758
2022-05-29,14013736
2022-05-30,24074607
2022-05-31,13823093
2022-06-01,19321889
2022-06-02,13723564
2022-06-03,10985684
2022-06-04,16750450
2022-06-05,13577530
2022-06-06,18088612
2022-06-07,15965550
2022-06-08,14340491
2022-06-09,17901757
2022-06-10,14098130
2022-06-11,15256300
2022-06-12,20800394
2022-06-13,22911936
2022-06-14,19831619
2022-06-15,27139980
2022-06-16,16998611
2022-06-17,20745557
2022-06-18,14185447
2022-06-19,17156718
2022-06-20,11363492
2022-06-21,14183868
2022-06-22,15881176
2022-06-23,12630435
2022-06-24,14245986
2022-06-25,16617108
2022-06-26,19139665
2022-06-27,22852869
2022-06-28,18996457
2022-06-29,20436214
2022-06-30,18262440
2022-07-01,39508024
2022-07-02,19681693
2022-07-03,16227067
2022-07-04,17713445
2022-07-05,22101677
2022-07-06,14397328
2022-07-07,11909891
2022-07-08,13045223
2022-07-09,13253508
2022-07-10,15552083
2022-07-11,14258729
2022-07-12,22976334
2022-07-13,10543045
2022-07-14,17796437
2022-07-15,16042370
2022-07-16,13539265
2022-07-17,20053620
2022-07-18,16726711
2022-07-19,13788468
2022-07-20,11059865
2022-07-21,14149450
2022-07-22,11544669
2022-07-23,19170510
2022-07-24,13864643
2022-07-25,13122429
2022-07-26,11369321
2022-07-27,12640847
2022-07-28,18723618
2022-07-29,11617182
2022-07-30,7471414
2022-07-31,15448297
2022-08-01,26821425
2022-08-02,15911394
2022-08-03,24086624
2022-08-04,25989660
2022-08-05,32966405
2022-08-06,22123898
2022-08-07,36178620
2022-08-08,18934710
2022-08-09,18497176
2022-08-10,22523347
2022-08-11,15167783
2022-08-12,19391032
2022-08-13,18215592
2022-08-14,21102988
2022-08-15,26257152
2022-08-16,19390557
2022-08-17,27160064
2022-08-18,21900288
2022-08-19,23517939
2022-08-20,23171052
2022-08-21,24281142
2022-08-22,19354556
2022-08-23,20542752
2022-08-24,26161036
2022-08-25,29471832
2022-08-26,31626756
2022-08-27,42028292
2022-08-28,27535774
2022-08-29,19383111
2022-08-30,18321002
2022-08-31,18127761
2022-09-01,19810604
2022-09-02,27456576
2022-09-03,40212174
2022-09-04,14862757
2022-09-05,25452791
2022-09-06,11780481
2022-09-07,18342206
2022-09-08,12698484
2022-09-09,13796871
2022-09-10,15966285
2022-09-11,23406641
2022-09-12,24728316
2022-09-13,19721474
2022-09-14,17875147
2022-09-15,16950465
2022-09-16,18672258
2022-09-17,23713159
2022-09-18,19692438
2022-09-19,21608424
2022-09-20,15702238
2022-09-21,18950199
2022-09-22,26571032
2022-09-23,16136869
2022-09-24,17451142
2022-09-25,20210587
2022-09-26,15709446
2022-09-27,16470951
2022-09-28,16582272
2022-09-29,20781782
2022-09-30,23474959
2022-10-01,25170762
2022-10-02,32741109
2022-10-03,20936205
2022-10-04,23149455
2022-10-05,18984648
2022-10-06,21299823
2022-10-07,25070232
2022-10-08,26749527
2022-10-09,27307173
2022-10-10,27020410
2022-10-11,26603243
2022-10-12,26267337
2022-10-13,31659291
2022-10-14,21977643
2022-10-15,25329530
2022-10-16,29963048
2022-10-17,26486921
2022-10-18,37786431
2022-10-19,23709868
2022-10-20,21571374
2022-10-21,23446295
2022-10-22,31840419
2022-10-23,32525255
2022-10-24,29709431
2022-10-25,27318545
2022-10-26,29235298
2022-10-27,25044520
2022-10-28,20101936
2022-10-29,25691487
2022-10-30,34772859
2022-10-31,37903653
2022-11-01,28229765
2022-11-02,27754028
2022-11-03,28526772
2022-11-04,18611730
2022-11-05,23047224
2022-11-06,22195134
2022-11-07,22575634
2022-11-08,28039561
2022-11-09,42909771
2022-11-10,30354482
2022-11-11,25922125
2022-11-12,56526147
2022-11-13,21453451
2022-11-14,20978792
2022-11-15,29892317
2022-11-16,25109707
2022-11-17,39637311
2022-11-18,38105483
2022-11-19,26348855
2022-11-20,13843151
2022-11-21,12548276
2022-11-22,21841963
2022-11-23,17077477
2022-11-24,18111283
2022-11-25,8318719
2022-11-26,16722094
2022-11-27,26514010
2022-11-28,13623815
2022-11-29,20249923
2022-11-30,12283422
2022-12-01,14127937
2022-12-02,15746509
2022-12-03,15113740
2022-12-04,19468802
2022-12-05,12534798
2022-12-06,14309225
2022-12-07,17463474
2022-12-08,14225662
2022-12-09,18916199
2022-12-10,12053181
2022-12-11,14387797
2022-12-12,16623212
2022-12-13,14598898
2022-12-14,18152380
2022-12-15,16240006
2022-12-16,11467023
2022-12-17,20313834
2022-12-18,13406158
2022-12-19,15117253
2022-12-20,17010083
2022-12-21,14237493
2022-12-22,21344868
2022-12-23,17967832
2022-12-24,15882981
2022-12-25,10289220
2022-12-26,23720451
2022-12-27,13139072
2022-12-28,17011770
2022-12-29,14455534
2022-12-30,12651276
2022-12-31,10148564
2023-01-01,16657386
2023-01-02,17138792
2023-01-03,12124559
2023-01-04,12561689
2023-01-05,19757145
2023-01-06,17116456
