date,lead sell
2023-04-22,256937
2023-04-23,236324
2023-04-24,158232
2023-04-25,447736
2023-04-26,314912
2023-04-27,138819
2023-04-28,228603
2023-04-29,142168
2023-04-30,161938
2023-05-01,106388
2023-05-02,172214
2023-05-03,200236
2023-05-04,158352
2023-05-05,247620
2023-05-06,190261
2023-05-07,257299
2023-05-08,347456
2023-05-09,237563
2023-05-10,276377
2023-05-11,243982
2023-05-12,131228
2023-05-13,156636
2023-05-14,230582
2023-05-15,218774
2023-05-16,197714
2023-05-17,266513
2023-05-18,290111
2023-05-19,205634
2023-05-20,251172
2023-05-21,235181
2023-05-22,251328
2023-05-23,169204
2023-05-24,188341
2023-05-25,153902
2023-05-26,246071
2023-05-27,160502
2023-05-28,192110
2023-05-29,185390
2023-05-30,279201
2023-05-31,157916
2023-06-01,141364
2023-06-02,425280
2023-06-03,218345
2023-06-04,281285
2023-06-05,238087
2023-06-06,148400
2023-06-07,362465
2023-06-08,378770
2023-06-09,241565
