date,uranium sell
2022-07-06,124600
2022-07-07,116622
2022-07-08,177040
2022-07-09,173840
2022-07-10,252838
2022-07-11,157694
2022-07-12,164292
2022-07-13,176813
2022-07-14,152849
2022-07-15,280263
2022-07-16,118020
2022-07-17,219568
2022-07-18,136599
2022-07-19,130089
2022-07-20,139775
2022-07-21,95519
2022-07-22,142777
2022-07-23,147324
2022-07-24,224033
2022-07-25,398623
2022-07-26,406526
2022-07-27,281635
2022-07-28,217829
2022-07-29,272651
2022-07-30,182507
2022-07-31,218982
2022-08-01,678531
2022-08-02,313802
2022-08-03,367224
2022-08-04,362876
2022-08-05,406309
2022-08-06,287664
2022-08-07,554642
2022-08-08,330490
2022-08-09,240592
2022-08-10,225855
2022-08-11,218790
2022-08-12,314330
2022-08-13,204627
2022-08-14,261263
2022-08-15,263666
2022-08-16,288561
2022-08-17,301030
2022-08-18,187034
2022-08-19,279619
2022-08-20,243512
2022-08-21,202102
2022-08-22,287386
2022-08-23,265299
2022-08-24,265212
2022-08-25,315821
2022-08-26,436708
2022-08-27,369434
2022-08-28,250194
2022-08-29,324414
2022-08-30,161007
2022-08-31,215853
2022-09-01,183051
2022-09-02,336062
2022-09-03,339862
2022-09-04,285159
2022-09-05,259852
2022-09-06,285758
2022-09-07,334267
2022-09-08,193759
2022-09-09,261390
2022-09-10,233281
2022-09-11,337254
2022-09-12,376016
2022-09-13,221553
2022-09-14,170162
2022-09-15,130030
2022-09-16,209532
2022-09-17,343065
2022-09-18,283587
2022-09-19,273375
2022-09-20,295470
2022-09-21,304855
2022-09-22,338219
2022-09-23,263738
2022-09-24,293783
2022-09-25,164712
2022-09-26,235734
2022-09-27,431406
2022-09-28,232122
2022-09-29,272500
2022-09-30,203158
2022-10-01,246781
2022-10-02,347044
2022-10-03,283211
2022-10-04,314147
2022-10-05,267723
2022-10-06,291664
2022-10-07,279975
2022-10-08,272132
2022-10-09,252387
2022-10-10,347272
2022-10-11,243888
2022-10-12,213938
2022-10-13,276045
2022-10-14,309876
2022-10-15,233133
2022-10-16,304299
2022-10-17,341525
2022-10-18,305153
2022-10-19,345420
2022-10-20,292320
2022-10-21,170221
2022-10-22,486095
2022-10-23,238837
2022-10-24,352654
2022-10-25,326790
2022-10-26,299547
2022-10-27,394180
2022-10-28,152947
2022-10-29,271768
2022-10-30,247030
2022-10-31,330170
2022-11-01,250465
2022-11-02,343519
2022-11-03,279823
2022-11-04,255213
2022-11-05,252698
2022-11-06,364232
2022-11-07,237306
2022-11-08,208037
2022-11-09,278346
2022-11-10,190649
