date,munitions sell
2022-06-11,604342
2022-06-12,408351
2022-06-13,706018
2022-06-14,589546
2022-06-15,520459
2022-06-16,686587
2022-06-17,694886
2022-06-18,532788
2022-06-19,545489
2022-06-20,450690
2022-06-21,522880
2022-06-22,422215
2022-06-23,559769
2022-06-24,693444
2022-06-25,448324
2022-06-26,532908
2022-06-27,695718
2022-06-28,630732
2022-06-29,589611
2022-06-30,1083646
2022-07-01,647569
2022-07-02,510278
2022-07-03,472096
2022-07-04,570744
2022-07-05,510110
2022-07-06,665266
2022-07-07,871070
2022-07-08,644113
2022-07-09,555530
2022-07-10,668451
2022-07-11,578844
2022-07-12,457724
2022-07-13,623807
2022-07-14,490696
2022-07-15,445181
2022-07-16,493158
2022-07-17,843896
2022-07-18,563564
2022-07-19,447855
2022-07-20,415407
2022-07-21,391030
2022-07-22,314698
2022-07-23,519106
2022-07-24,575548
2022-07-25,736212
2022-07-26,692918
2022-07-27,580817
2022-07-28,513911
2022-07-29,736564
2022-07-30,620255
2022-07-31,448493
2022-08-01,1553347
2022-08-02,726680
2022-08-03,1199935
2022-08-04,870041
2022-08-05,800075
2022-08-06,610256
2022-08-07,1446397
2022-08-08,724677
2022-08-09,640066
2022-08-10,1158281
2022-08-11,908877
2022-08-12,521878
2022-08-13,591248
2022-08-14,808897
2022-08-15,767586
2022-08-16,450930
2022-08-17,688908
2022-08-18,478333
2022-08-19,481520
2022-08-20,583764
2022-08-21,362393
2022-08-22,602158
2022-08-23,636442
2022-08-24,497694
2022-08-25,461482
2022-08-26,495678
2022-08-27,770427
2022-08-28,771974
2022-08-29,715059
2022-08-30,833792
2022-08-31,526359
2022-09-01,845213
2022-09-02,787669
2022-09-03,391364
2022-09-04,695303
2022-09-05,497402
2022-09-06,444768
2022-09-07,396134
2022-09-08,408793
2022-09-09,436865
2022-09-10,367801
2022-09-11,513309
2022-09-12,497586
2022-09-13,814138
2022-09-14,346365
2022-09-15,461237
2022-09-16,507246
2022-09-17,552266
2022-09-18,485693
2022-09-19,552270
2022-09-20,1002260
2022-09-21,674005
2022-09-22,642092
2022-09-23,475276
2022-09-24,788905
2022-09-25,546080
2022-09-26,589400
2022-09-27,507310
2022-09-28,449933
2022-09-29,341355
2022-09-30,383905
2022-10-01,559838
2022-10-02,648474
2022-10-03,557584
2022-10-04,764358
2022-10-05,486185
2022-10-06,561442
2022-10-07,659354
2022-10-08,428233
2022-10-09,760131
2022-10-10,536958
2022-10-11,763430
2022-10-12,674308
2022-10-13,578586
2022-10-14,448615
2022-10-15,499949
2022-10-16,534338
2022-10-17,471261
2022-10-18,576379
2022-10-19,474633
2022-10-20,482873
2022-10-21,414608
2022-10-22,563298
2022-10-23,1083648
2022-10-24,483298
2022-10-25,575942
2022-10-26,465983
2022-10-27,637110
2022-10-28,523177
2022-10-29,587905
2022-10-30,642852
2022-10-31,813593
2022-11-01,748048
2022-11-02,804110
2022-11-03,743900
2022-11-04,769378
2022-11-05,726597
2022-11-06,485537
2022-11-07,540339
2022-11-08,680667
2022-11-09,606705
2022-11-10,354703
2022-11-11,718832
2022-11-12,1129887
2022-11-13,670039
2022-11-14,703856
2022-11-15,502469
2022-11-16,503814
2022-11-17,515605
2022-11-18,514383
2022-11-19,525489
2022-11-20,546198
2022-11-21,425151
2022-11-22,738892
2022-11-23,390648
2022-11-24,427385
2022-11-25,466780
2022-11-26,560753
2022-11-27,666019
2022-11-28,424667
2022-11-29,582067
2022-11-30,461907
2022-12-01,710557
2022-12-02,536417
2022-12-03,522525
2022-12-04,504334
2022-12-05,548767
2022-12-06,417180
2022-12-07,723276
2022-12-08,411885
2022-12-09,351464
2022-12-10,415330
2022-12-11,539475
2022-12-12,492358
2022-12-13,610830
2022-12-14,405897
2022-12-15,567865
2022-12-16,526949
2022-12-17,423467
2022-12-18,473983
2022-12-19,630962
2022-12-20,439861
2022-12-21,356932
2022-12-22,498111
2022-12-23,605072
2022-12-24,681867
2022-12-25,297690
2022-12-26,368101
2022-12-27,449962
2022-12-28,659494
2022-12-29,596335
2022-12-30,385077
2022-12-31,388050
2023-01-01,585708
2023-01-02,638841
2023-01-03,499744
2023-01-04,492683
2023-01-05,564520
2023-01-06,687514
2023-01-07,640251
2023-01-08,562882
2023-01-09,656710
2023-01-10,833772
2023-01-11,403002
2023-01-12,414284
2023-01-13,601363
2023-01-14,460122
2023-01-15,455385
2023-01-16,471158
2023-01-17,553024
2023-01-18,635331
2023-01-19,532230
2023-01-20,523318
2023-01-21,383228
2023-01-22,534782
2023-01-23,465236
2023-01-24,384863
2023-01-25,768467
2023-01-26,563382
2023-01-27,969409
2023-01-28,810526
2023-01-29,568552
2023-01-30,623001
2023-01-31,511107
2023-02-01,594108
2023-02-02,655814
2023-02-03,591047
2023-02-04,1207048
2023-02-05,465182
2023-02-06,575946
2023-02-07,441156
2023-02-08,629006
2023-02-09,636384
2023-02-10,547517
2023-02-11,559895
2023-02-12,617933
2023-02-13,633314
2023-02-14,586166
2023-02-15,775917
2023-02-16,532595
2023-02-17,519898
2023-02-18,1270070
2023-02-19,483488
2023-02-20,559339
2023-02-21,517210
2023-02-22,560592
2023-02-23,354070
2023-02-24,537552
2023-02-25,342370
2023-02-26,501507
2023-02-27,569475
2023-02-28,606281
2023-03-01,618250
2023-03-02,412192
2023-03-03,658154
2023-03-04,631031
2023-03-05,708118
2023-03-06,706748
