date,coal sell
2022-09-13,426091
2022-09-14,328111
2022-09-15,388898
2022-09-16,227690
2022-09-17,457606
2022-09-18,328739
2022-09-19,328183
2022-09-20,298917
2022-09-21,317643
2022-09-22,293620
2022-09-23,277231
2022-09-24,334685
2022-09-25,271375
2022-09-26,333946
2022-09-27,264344
2022-09-28,302744
2022-09-29,346224
2022-09-30,179354
2022-10-01,296983
2022-10-02,274649
2022-10-03,352093
2022-10-04,285987
2022-10-05,295304
2022-10-06,362441
2022-10-07,283767
2022-10-08,365947
2022-10-09,714450
2022-10-10,428062
2022-10-11,370705
2022-10-12,233050
2022-10-13,479408
2022-10-14,203042
2022-10-15,416089
2022-10-16,326742
2022-10-17,298586
2022-10-18,387064
2022-10-19,425430
2022-10-20,513180
2022-10-21,409365
2022-10-22,309665
2022-10-23,358352
2022-10-24,447812
2022-10-25,278956
2022-10-26,232681
2022-10-27,235440
2022-10-28,350801
2022-10-29,329418
2022-10-30,387047
2022-10-31,322980
2022-11-01,424944
2022-11-02,402541
2022-11-03,516852
2022-11-04,312914
2022-11-05,242954
2022-11-06,389562
2022-11-07,272240
2022-11-08,268498
2022-11-09,375693
2022-11-10,262153
2022-11-11,339918
2022-11-12,308370
2022-11-13,285877
2022-11-14,257453
2022-11-15,312679
2022-11-16,243492
2022-11-17,327201
2022-11-18,207489
2022-11-19,322445
2022-11-20,201636
2022-11-21,326841
2022-11-22,276663
2022-11-23,258206
2022-11-24,261456
2022-11-25,282699
2022-11-26,216512
2022-11-27,284115
2022-11-28,243945
2022-11-29,202884
2022-11-30,211965
2022-12-01,302952
2022-12-02,344748
2022-12-03,245403
2022-12-04,194634
2022-12-05,264541
2022-12-06,304159
2022-12-07,229243
2022-12-08,310345
2022-12-09,286466
2022-12-10,306077
2022-12-11,427435
2022-12-12,246418
2022-12-13,229132
2022-12-14,244035
2022-12-15,255036
2022-12-16,304279
2022-12-17,315485
2022-12-18,329619
2022-12-19,329585
2022-12-20,301018
2022-12-21,286390
2022-12-22,234961
2022-12-23,345713
2022-12-24,220752
2022-12-25,163290
2022-12-26,241829
2022-12-27,362171
2022-12-28,283056
2022-12-29,249197
2022-12-30,285260
2022-12-31,159988
2023-01-01,322545
2023-01-02,419442
2023-01-03,384662
2023-01-04,256189
2023-01-05,250425
2023-01-06,334743
2023-01-07,531851
2023-01-08,449875
2023-01-09,699468
2023-01-10,340850
2023-01-11,306341
2023-01-12,383767
2023-01-13,373195
2023-01-14,262467
2023-01-15,313800
2023-01-16,247132
2023-01-17,308497
2023-01-18,271579
2023-01-19,309533
2023-01-20,388034
2023-01-21,242901
2023-01-22,291994
2023-01-23,291170
2023-01-24,235782
2023-01-25,311534
2023-01-26,317615
2023-01-27,354974
2023-01-28,456111
2023-01-29,341425
2023-01-30,382488
2023-01-31,305548
2023-02-01,373845
2023-02-02,400199
2023-02-03,320818
2023-02-04,372216
2023-02-05,322228
2023-02-06,437552
2023-02-07,308687
2023-02-08,371877
2023-02-09,282316
2023-02-10,348253
2023-02-11,384299
2023-02-12,397010
2023-02-13,315082
2023-02-14,274439
2023-02-15,315794
2023-02-16,275778
2023-02-17,377008
2023-02-18,701590
2023-02-19,410500
2023-02-20,292130
2023-02-21,710604
2023-02-22,333158
2023-02-23,270711
2023-02-24,279731
2023-02-25,369175
2023-02-26,236823
2023-02-27,583494
2023-02-28,424410
2023-03-01,250557
2023-03-02,394695
2023-03-03,359938
2023-03-04,298453
