date,iron sell
2022-03-20,369819
2022-03-21,244180
2022-03-22,217850
2022-03-23,247574
2022-03-24,263404
2022-03-25,235787
2022-03-26,311483
2022-03-27,295471
2022-03-28,468856
2022-03-29,349824
2022-03-30,299390
2022-03-31,367229
2022-04-01,226717
2022-04-02,341046
2022-04-03,273864
2022-04-04,228919
2022-04-05,266289
2022-04-06,362302
2022-04-07,279794
2022-04-08,240391
2022-04-09,241522
2022-04-10,447890
2022-04-11,223659
2022-04-12,367378
2022-04-13,322313
2022-04-14,230984
2022-04-15,254301
2022-04-16,507053
2022-04-17,252201
2022-04-18,256718
2022-04-19,235786
2022-04-20,211436
2022-04-21,190931
2022-04-22,314708
2022-04-23,331816
2022-04-24,264426
2022-04-25,282738
2022-04-26,219596
2022-04-27,244628
2022-04-28,390908
2022-04-29,237374
2022-04-30,240026
2022-05-01,343909
2022-05-02,316850
2022-05-03,282915
2022-05-04,245898
2022-05-05,290614
2022-05-06,317620
2022-05-07,285234
2022-05-08,294876
2022-05-09,403108
2022-05-10,354838
2022-05-11,312097
2022-05-12,374427
2022-05-13,249819
2022-05-14,317030
2022-05-15,442231
2022-05-16,225745
2022-05-17,393269
2022-05-18,273558
2022-05-19,266213
2022-05-20,557021
2022-05-21,426356
2022-05-22,262071
2022-05-23,244863
2022-05-24,222918
2022-05-25,347333
2022-05-26,252593
2022-05-27,241932
2022-05-28,221989
2022-05-29,268061
2022-05-30,297286
2022-05-31,293797
2022-06-01,260534
2022-06-02,256917
2022-06-03,237503
2022-06-04,251917
2022-06-05,393399
2022-06-06,303552
2022-06-07,365945
2022-06-08,232717
2022-06-09,267460
2022-06-10,449838
2022-06-11,262172
2022-06-12,333887
2022-06-13,407268
2022-06-14,342026
2022-06-15,313047
2022-06-16,286474
2022-06-17,328848
2022-06-18,233855
2022-06-19,233841
2022-06-20,291475
2022-06-21,453193
2022-06-22,320616
2022-06-23,297080
2022-06-24,354843
2022-06-25,350842
2022-06-26,294715
2022-06-27,265043
2022-06-28,336061
2022-06-29,289313
2022-06-30,217959
2022-07-01,255949
2022-07-02,254516
2022-07-03,167611
2022-07-04,248349
2022-07-05,196286
2022-07-06,260985
2022-07-07,210499
2022-07-08,168196
2022-07-09,187157
2022-07-10,263706
2022-07-11,207911
2022-07-12,260019
2022-07-13,258000
2022-07-14,294069
2022-07-15,194283
2022-07-16,242514
2022-07-17,233025
2022-07-18,180712
2022-07-19,240469
2022-07-20,185743
2022-07-21,194285
2022-07-22,211440
2022-07-23,173481
2022-07-24,216488
2022-07-25,548924
2022-07-26,375638
2022-07-27,227471
2022-07-28,185574
2022-07-29,254512
2022-07-30,295361
2022-07-31,289936
2022-08-01,531226
2022-08-02,192529
2022-08-03,436227
2022-08-04,468617
2022-08-05,584643
2022-08-06,354441
2022-08-07,543424
2022-08-08,235555
2022-08-09,313938
2022-08-10,307443
2022-08-11,333693
2022-08-12,221395
2022-08-13,310889
2022-08-14,328798
2022-08-15,338744
2022-08-16,356564
2022-08-17,387188
2022-08-18,377694
2022-08-19,349516
2022-08-20,257621
2022-08-21,284078
2022-08-22,316825
2022-08-23,375235
2022-08-24,225697
2022-08-25,396308
2022-08-26,283595
2022-08-27,493970
2022-08-28,336545
2022-08-29,332618
2022-08-30,273377
2022-08-31,260196
2022-09-01,334036
2022-09-02,367205
2022-09-03,315792
2022-09-04,229456
2022-09-05,278531
2022-09-06,395792
2022-09-07,517551
2022-09-08,515279
2022-09-09,270250
2022-09-10,189640
2022-09-11,472783
2022-09-12,381307
2022-09-13,574745
2022-09-14,249742
2022-09-15,421303
2022-09-16,340694
2022-09-17,509290
2022-09-18,391396
2022-09-19,324583
2022-09-20,372816
2022-09-21,261353
2022-09-22,311042
2022-09-23,361802
2022-09-24,384413
2022-09-25,346862
2022-09-26,477440
2022-09-27,239409
2022-09-28,256595
2022-09-29,234836
2022-09-30,337947
2022-10-01,307564
2022-10-02,284846
2022-10-03,319728
2022-10-04,313430
2022-10-05,320886
2022-10-06,331359
2022-10-07,377935
2022-10-08,338311
2022-10-09,413898
2022-10-10,400822
2022-10-11,507521
2022-10-12,311093
2022-10-13,489138
2022-10-14,364085
2022-10-15,371662
2022-10-16,459024
2022-10-17,298482
2022-10-18,434364
2022-10-19,458396
2022-10-20,426477
2022-10-21,213153
2022-10-22,302065
2022-10-23,362205
2022-10-24,457808
2022-10-25,374394
2022-10-26,214778
2022-10-27,234784
2022-10-28,197530
2022-10-29,438514
2022-10-30,323484
2022-10-31,492244
2022-11-01,398779
2022-11-02,453291
2022-11-03,531233
2022-11-04,335427
2022-11-05,258865
2022-11-06,427911
2022-11-07,367017
2022-11-08,294298
2022-11-09,310391
2022-11-10,205123
2022-11-11,296275
